team,wins,loss,map_wins,map_lost,round_win,round_loss,round_differential,team_rating,standing
LOUD,8,1,16,7,261,215,+46,944,1
Cloud9,8,1,17,4,253,183,+70,752,2
NRG Esports,6,3,14,7,251,199,+52,916,3
Leviatán,4,5,11,11,237,223,+14,710,4
FURIA,4,5,11,12,252,260,-8,693,5
Evil Geniuses,4,5,10,12,234,224,+10,989,6
Sentinels,4,5,10,12,223,255,-32,700,7
100 Thieves,4,5,10,13,242,269,-27,701,8
MIBR,3,6,7,15,198,270,-72,668,9
KRÜ Esports,0,9,5,18,225,278,-53,786,10
DRX,8,1,16,4,249,170,+79,885,1
Paper Rex,7,2,15,6,249,186,+63,976,2
T1,6,3,12,9,217,204,+13,822,3
ZETA DIVISION,5,4,11,12,239,248,-9,812,4
Team Secret,5,4,11,10,228,226,+2,722,5
Gen.G,4,5,10,11,197,217,-20,700,6
Rex Regum Qeon,4,5,10,11,208,221,-13,702,7
Global Esports,3,6,9,12,231,227,+4,683,8
Talon Esports,3,6,9,12,197,230,-33,699,9
DetonatioN FocusMe,0,9,2,18,161,247,-86,624,10
